system:index,Humidity,Latitude,Longitude,.geo
171,95.18434898273965,28.301423026185525,77.1697744822875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1697744822875,28.301423026185525]}"
172,95.18434898273965,28.301423026185525,77.17875763512869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17875763512869,28.301423026185525]}"
173,95.18434898273965,28.301423026185525,77.18774078796989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18774078796989,28.301423026185525]}"
174,95.18434898273965,28.301423026185525,77.19672394081108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19672394081108,28.301423026185525]}"
175,95.18434898273965,28.301423026185525,77.20570709365228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20570709365228,28.301423026185525]}"
176,95.18434898273965,28.301423026185525,77.21469024649348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21469024649348,28.301423026185525]}"
177,95.18434898273965,28.301423026185525,77.22367339933467,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22367339933467,28.301423026185525]}"
178,95.18434898273965,28.301423026185525,77.23265655217587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23265655217587,28.301423026185525]}"
179,95.18434898273965,28.301423026185525,77.24163970501706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24163970501706,28.301423026185525]}"
180,95.23738561693662,28.301423026185525,77.25062285785826,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25062285785826,28.301423026185525]}"
181,95.23738561693662,28.301423026185525,77.25960601069944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25960601069944,28.301423026185525]}"
182,95.23738561693662,28.301423026185525,77.26858916354064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26858916354064,28.301423026185525]}"
183,95.23738561693662,28.301423026185525,77.27757231638184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27757231638184,28.301423026185525]}"
184,95.23738561693662,28.301423026185525,77.28655546922303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28655546922303,28.301423026185525]}"
185,95.23738561693662,28.301423026185525,77.29553862206423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29553862206423,28.301423026185525]}"
186,95.23738561693662,28.301423026185525,77.30452177490542,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30452177490542,28.301423026185525]}"
187,95.23738561693662,28.301423026185525,77.31350492774662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31350492774662,28.301423026185525]}"
188,94.89084374290691,28.31040617902672,76.87333043852806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.87333043852806,28.31040617902672]}"
189,94.89084374290691,28.31040617902672,76.88231359136925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88231359136925,28.31040617902672]}"
